Customer ID,Title,First Name,Last Name,Gender,Email,Date of Birth,Membership Tier
10001,Mr,Lucas,Thompson,M,lucas.thompson@gmail.com,9/12/1985,Gold
10002,Ms,Sophia,Rodriguez,F,sophia.rodriguez@outlook.com,3/25/1995,Platinum
10003,Dr,Oliver,Wilson,M,oliver.w@example.com,11/7/1970,Silver
10004,Mrs,Emma,Adams,F,emma.addx@hotmail.com,6/19/1982,Gold
10005,Mr,Liam,Nguyen,M,liam_nguyen_01@icloud.com,12/14/1997,Gold
10006,Miss,Ava,Brown,F,ava.brown@example.com,8/30/1989,Silver
10007,Mr,Noah,Garcia,M,noah.garcia@example.com,5/23/1973,Platinum
10008,Dr,Mia,Clark,F,mia.clark@gmail.com,11/8/1990,Platinum
10009,Mr,Elijah,Hector,M,elli_hecx@icloud.com,7/11/1984,Silver
10010,Miss,Isabella,Montez,F,izziemontez@gmail.com,4/10/1998,Silver
10011,Miss,Kara,Danvers,F,its_supergirl@gmail.com,5/23/1993,Platinum
10012,Mr,Ethan,Lee,M,ethanx@example.com,6/9/1988,Gold
10013,Mrs,Charlotte,Wells,F,charlotte_itsprada@outlook.com,3/15/1971,Platinum
